neighberhood,street
שפירא,"תרפ""ב"
תל בנימין,ארלוזורוב
תל בנימין,ביאליק
תל בנימין,גלעד
תל בנימין,דרך אבא הלל
תל בנימין,היזמה
תל בנימין,ז'בוטינסקי
תל בנימין,מקדונלד
תל בנימין,תלפיות
תל גנים,דרך בן גוריון דוד
תל גנים,דרך יצחק רבין
תל גנים,יוסף צבי
תל גנים,עוזיאל
תל גנים,פבריגט
תל השומר,גילדסגים
תל השומר,עמק האלה
תל השומר,עמק הארזים
תל השומר,קציר
תל יהודה,אלרואי
תל יהודה,דרך בן גוריון דוד
תל יהודה,"הרא""ה"
תל יהודה,עוזיאל
תל יהודה,שד' ירושלים
תל ליטווינסקי,גילדסגים
תל ליטווינסקי,מנדס
תל ליטווינסקי,ספיר יוסף
תל ליטווינסקי,עמק האלה
תל ליטווינסקי,קציר
